category_code,model_name,regist_country,create_dt_utc,device_id,event_type,mon_data,State,Remain_Time_H,Remain_Time_M,Initial_Time_H,Initial_Time_M,APCourse,Error,SoilLevel,SpinSpeed,WaterTemp,RinseCount,DryLevel,Reserve_Time_H,Reserve_Time_M,FreshCare,ChildLock,Steam,RemoteStart,TurboShot,InitialBit,PreState,SmartCourse,TCLCount,OPCourse,LoadLevel
201,LG_WM_KR,KR,19/11/2017 3:39,A1,WM_STATE,MgAeAQgBAAAAAAAHAAAABAAA/yg/BxUF,50,0,30,1,8,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,40,63,7,21,5
201,LG_WM_KR,KR,19/11/2017 4:10,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAADljI/BxUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,7,21,0
201,LG_WM_KR,KR,19/11/2017 4:10,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAADljI/BxUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,7,21,0
201,LG_WM_KR,KR,19/11/2017 4:28,A1,COMMON_WIFI_ON,BQA0ADQNAAICAgMAAAAAAAAAADw/BxUA,5,0,52,0,52,13,0,2,2,2,3,0,0,0,0,0,0,0,0,0,60,63,7,21,0
201,LG_WM_KR,KR,19/11/2017 4:28,A1,WM_WASH_BEGIN,FAEAAQANAAICAwQAAAAAAAAAAAU/BxUA,20,1,0,1,0,13,0,2,2,3,4,0,0,0,0,0,0,0,0,0,5,63,7,21,0
201,LG_WM_KR,KR,19/11/2017 4:28,A1,WM_STATE,BgEAAQANAAICAwQAAAAAAAAAABQ/BxUA,6,1,0,1,0,13,0,2,2,3,4,0,0,0,0,0,0,0,0,0,20,63,7,21,0
201,LG_WM_KR,KR,19/11/2017 4:28,A1,WM_PAUSE,BgEAAQANAAICAwQAAAAAAAAAABQ/BxUA,6,1,0,1,0,13,0,2,2,3,4,0,0,0,0,0,0,0,0,0,20,63,7,21,0
201,LG_WM_KR,KR,19/11/2017 4:28,A1,WM_STATE,FAEAAQANAAICAwQAAAAiBAAAAAY/BxUA,20,1,0,1,0,13,0,2,2,3,4,0,0,0,0,0,0,0,0,0,6,63,7,21,0
201,LG_WM_KR,KR,19/11/2017 4:29,A1,WM_STATE,FwA5ADkNAAICAwQAAAAiBAAAABQ/BxUB,23,0,57,0,57,13,0,2,2,3,4,0,0,0,0,0,0,0,0,0,20,63,7,21,1
201,LG_WM_KR,KR,19/11/2017 4:50,A1,WM_STATE,HgAlADkNAAACAAQAAAAiBAAACBc/BxUB,30,0,37,0,57,13,0,0,2,0,4,0,0,0,0,0,0,0,0,0,23,63,7,21,1
201,LG_WM_KR,KR,19/11/2017 5:19,A1,WM_STATE,KAAIADkNAAACAAAAAAAiBAAAEh4/BxUB,40,0,8,0,57,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30,63,7,21,1
201,LG_WM_KR,KR,19/11/2017 5:35,A1,WM_STATE,PQABADkNAAAAAAAAAAACBAAAJCg/CBUB,61,0,1,0,57,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,8,21,1
201,LG_WM_KR,KR,19/11/2017 5:35,A1,WM_WASH_END,PQABADkNAAAAAAAAAAACBAAAJCg/CBUB,61,0,1,0,57,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,8,21,1
201,LG_WM_KR,KR,19/11/2017 5:36,A1,WM_STATE,HgASABINAAACAAEAAAAAAAAAJT0/CBUF,30,0,18,0,18,13,0,0,2,0,1,0,0,0,0,0,0,0,0,0,61,63,8,21,5
201,LG_WM_KR,KR,19/11/2017 5:36,A1,WM_WASH_BEGIN,HgASABINAAACAAEAAAAAAAAAJT0/CBUF,30,0,18,0,18,13,0,0,2,0,1,0,0,0,0,0,0,0,0,0,61,63,8,21,5
201,LG_WM_KR,KR,19/11/2017 5:44,A1,WM_STATE,KAALABINAAACAAAAAAAABAAAAx4/CBUF,40,0,11,0,18,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30,63,8,21,5
201,LG_WM_KR,KR,19/11/2017 5:58,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAAAHCg/CBUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,8,21,0
201,LG_WM_KR,KR,19/11/2017 5:58,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAAAHCg/CBUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,8,21,0
201,LG_WM_KR,KR,19/11/2017 6:16,A1,COMMON_WIFI_ON,FAEPAQ8BAAIEAgQAAAAAhAAAAAU/CBUA,20,1,15,1,15,1,0,2,4,2,4,0,0,0,0,0,0,0,0,0,5,63,8,21,0
201,LG_WM_KR,KR,19/11/2017 6:16,A1,WM_STATE,FwESARIBAAIEAgQAAAAAhAAAABQ/CBUB,23,1,18,1,18,1,0,2,4,2,4,0,0,0,0,0,0,0,0,0,20,63,8,21,1
201,LG_WM_KR,KR,19/11/2017 6:32,A1,WM_STATE,HgA7ARIBAAAEAAQAAAAAhAABVhc/CBUB,30,0,59,1,18,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,23,63,8,21,1
201,LG_WM_KR,KR,19/11/2017 7:31,A1,WM_STATE,KAALARIBAAAEAAAAAAAAhAABxx4/CBUB,40,0,11,1,18,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,63,8,21,1
201,LG_WM_KR,KR,19/11/2017 7:41,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAAB3Cg/CRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,9,21,0
201,LG_WM_KR,KR,19/11/2017 7:41,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAAB3Cg/CRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,9,21,0
201,LG_WM_KR,KR,19/11/2017 23:42,A1,COMMON_WIFI_ON,BQEPAQ8BAAEEAwQAAAAAAAAAADw/CRUA,5,1,15,1,15,1,0,1,4,3,4,0,0,0,0,0,0,0,0,0,60,63,9,21,0
201,LG_WM_KR,KR,19/11/2017 23:42,A1,WM_WASH_BEGIN,FAEJAQkBAAEABAQAAAAAAAAAAAU/CRUA,20,1,9,1,9,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,5,63,9,21,0
201,LG_WM_KR,KR,19/11/2017 23:42,A1,WM_STATE,FAEJAQkBAAEABAQAAAAAAAAAAAU/CRUA,20,1,9,1,9,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,5,63,9,21,0
201,LG_WM_KR,KR,19/11/2017 23:43,A1,WM_STATE,FwEPAQ8BAAEABAQAAAAABAAAABQ/CRUB,23,1,15,1,15,1,0,1,0,4,4,0,0,0,0,0,0,0,0,0,20,63,9,21,1
201,LG_WM_KR,KR,20/11/2017 0:06,A1,WM_STATE,HgAwAQ8BAAAAAAQAAAAABAACRBc/CRUB,30,0,48,1,15,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,23,63,9,21,1
201,LG_WM_KR,KR,20/11/2017 0:54,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAACmx4/CRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,63,9,21,0
201,LG_WM_KR,KR,20/11/2017 0:54,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAACmx4/CRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,63,9,21,0
201,LG_WM_KR,KR,20/11/2017 0:55,A1,WM_WASH_BEGIN,HgEiASIFAAAEAAEIAAAAAAACnDw/CRUF,30,1,34,1,34,5,0,0,4,0,1,8,0,0,0,0,0,0,0,0,60,63,9,21,5
201,LG_WM_KR,KR,20/11/2017 0:55,A1,WM_STATE,HgEiASIFAAAEAAEIAAAAAAACnDw/CRUF,30,1,34,1,34,5,0,0,4,0,1,8,0,0,0,0,0,0,0,0,60,63,9,21,5
201,LG_WM_KR,KR,20/11/2017 1:01,A1,WM_STATE,KAEbASIFAAAEAAAIAAAABAAAER4/CRUF,40,1,27,1,34,5,0,0,4,0,0,8,0,0,0,0,0,0,0,0,30,63,9,21,5
201,LG_WM_KR,KR,20/11/2017 1:30,A1,WM_STATE,MgEAASIFAAAAAAAIAAAABAAA+Cg/CRUF,50,1,0,1,34,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,40,63,9,21,5
201,LG_WM_KR,KR,20/11/2017 2:31,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAAGhDI/CRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,9,21,0
201,LG_WM_KR,KR,20/11/2017 2:31,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAAGhDI/CRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,9,21,0
201,LG_WM_KR,KR,20/11/2017 5:33,A1,WM_WASH_BEGIN,KAA5ADkBAAAEAAAHAAAAAAAAADw/CRUF,40,0,57,0,57,1,0,0,4,0,0,7,0,0,0,0,0,0,0,0,60,63,9,21,5
201,LG_WM_KR,KR,20/11/2017 5:33,A1,WM_STATE,KAA5ADkBAAAEAAAHAAAAAAAAADw/CRUF,40,0,57,0,57,1,0,0,4,0,0,7,0,0,0,0,0,0,0,0,60,63,9,21,5
201,LG_WM_KR,KR,20/11/2017 5:43,A1,WM_PAUSE,BgAuADkBAAAEAAAHAAAABAAARig/CRUF,6,0,46,0,57,1,0,0,4,0,0,7,0,0,0,0,0,0,0,0,40,63,9,21,5
201,LG_WM_KR,KR,20/11/2017 5:44,A1,WM_STATE,MgEAAQABAAAAAAAIAAAAAAAARgY/CRUF,50,1,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,63,9,21,5
201,LG_WM_KR,KR,20/11/2017 6:45,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAAFITI/CRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,9,21,0
201,LG_WM_KR,KR,20/11/2017 6:45,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAAFITI/CRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,9,21,0
201,LG_WM_KR,KR,20/11/2017 7:20,A1,WM_WASH_BEGIN,HgATABMFAAADAAEAAAAAAAAAADw/CRUF,30,0,19,0,19,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,60,63,9,21,5
201,LG_WM_KR,KR,20/11/2017 7:20,A1,WM_STATE,HgATABMFAAADAAEAAAAAAAAAADw/CRUF,30,0,19,0,19,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,60,63,9,21,5
201,LG_WM_KR,KR,20/11/2017 7:20,A1,COMMON_WIFI_ON,HgATABMFAAADAAEAAAAABAAAADw/CRUF,30,0,19,0,19,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,60,63,9,21,5
201,LG_WM_KR,KR,20/11/2017 7:28,A1,WM_STATE,KAAMABMFAAADAAAAAAAABAAAEh4/CRUF,40,0,12,0,19,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,63,9,21,5
201,LG_WM_KR,KR,20/11/2017 7:44,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAAAMCg/CRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,9,21,0
201,LG_WM_KR,KR,20/11/2017 7:44,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAAAMCg/CRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,9,21,0
201,LG_WM_KR,KR,20/11/2017 23:30,A1,COMMON_WIFI_ON,BQEuAS4MAAIDAgUAAAAAAAAAADw/CRUA,5,1,46,1,46,12,0,2,3,2,5,0,0,0,0,0,0,0,0,0,60,63,9,21,0
201,LG_WM_KR,KR,20/11/2017 23:31,A1,WM_WASH_BEGIN,FAEuAS4MAAIDAgUAAAAAgAAAAAU/CRUA,20,1,46,1,46,12,0,2,3,2,5,0,0,0,0,0,0,0,0,0,5,63,9,21,0
201,LG_WM_KR,KR,20/11/2017 23:31,A1,WM_STATE,FAEuAS4MAAIDAgUAAAAAgAAAAAU/CRUA,20,1,46,1,46,12,0,2,3,2,5,0,0,0,0,0,0,0,0,0,5,63,9,21,0
201,LG_WM_KR,KR,20/11/2017 23:31,A1,WM_STATE,FwEuAS4MAAIDAgUAAAAAhAAAABQ/CRUB,23,1,46,1,46,12,0,2,3,2,5,0,0,0,0,0,0,0,0,0,20,63,9,21,1
201,LG_WM_KR,KR,16/11/2017 11:54,A2,COMMON_WIFI_ON,FAAnACcBAAIEAwIAAAAAhAAAAAA9OA4A,20,0,39,0,39,1,0,2,4,3,2,0,0,0,0,0,0,0,0,0,0,61,56,14,0
201,LG_WM_KR,KR,16/11/2017 11:55,A2,WM_STATE,FwAnACcBAAIEAwIAAAAAhAAAABQ9OA4B,23,0,39,0,39,1,0,2,4,3,2,0,0,0,0,0,0,0,0,0,20,61,56,14,1
201,LG_WM_KR,KR,16/11/2017 12:09,A2,WM_STATE,HgAYACcBAAAEAAIAAAAAhAABgRc9OA4B,30,0,24,0,39,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,23,61,56,14,1
201,LG_WM_KR,KR,16/11/2017 12:25,A2,WM_STATE,KAAIACcBAAAEAAAAAAAAhAABox49OA4B,40,0,8,0,39,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,61,56,14,1
201,LG_WM_KR,KR,16/11/2017 12:35,A2,WM_STATE,PAAAAAAAAAAAAAAAAAAABAABtSg9OQ4A,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,61,57,14,0
